time,depth_difference_m
2022-09-01T00:00:00Z,8.573190833333328
2022-09-02T00:00:00Z,8.575386909722221
2022-09-03T00:00:00Z,8.574930399305552
2022-09-04T00:00:00Z,8.577171666666668
2022-09-05T00:00:00Z,8.573300572916667
2022-09-06T00:00:00Z,8.571374149305557
2022-09-07T00:00:00Z,8.57451677083333
2022-09-08T00:00:00Z,8.577459947916664
2022-09-09T00:00:00Z,8.579719253472222
2022-09-10T00:00:00Z,8.57387029513889
2022-09-11T00:00:00Z,8.576960104166666
2022-09-12T00:00:00Z,8.578197291666665
2022-09-13T00:00:00Z,8.57511657986111
2022-09-14T00:00:00Z,8.572390034722217
2022-09-15T00:00:00Z,8.573117854032398
2022-09-16T00:00:00Z,8.58031423611111
2022-09-17T00:00:00Z,8.580096944444444
2022-09-18T00:00:00Z,8.579981041666665
2022-09-19T00:00:00Z,8.580990590277779
2022-09-20T00:00:00Z,8.5805959375
2022-09-21T00:00:00Z,8.578094652777777
2022-09-22T00:00:00Z,8.580172343750004
2022-09-23T00:00:00Z,8.57882564236111
2022-09-24T00:00:00Z,8.576009809027777
2022-09-25T00:00:00Z,8.573195989583333
2022-09-26T00:00:00Z,8.578026041666666
2022-09-27T00:00:00Z,8.579842586805558
2022-09-28T00:00:00Z,8.578690538194445
2022-09-29T00:00:00Z,8.578889288194448
2022-09-30T00:00:00Z,8.574945017361113
2022-10-01T00:00:00Z,8.577909930555556
2022-10-02T00:00:00Z,8.571112256944444
2022-10-03T00:00:00Z,8.5746303125
2022-10-04T00:00:00Z,8.574419965277777
2022-10-05T00:00:00Z,8.572822204861113
2022-10-06T00:00:00Z,8.573922430555559
2022-10-07T00:00:00Z,8.57466109375
2022-10-08T00:00:00Z,8.576875920138885
2022-10-09T00:00:00Z,8.57864704861111
2022-10-10T00:00:00Z,8.575783315972219
2022-10-11T00:00:00Z,8.573396319444443
2022-10-12T00:00:00Z,8.575161458333332
2022-10-13T00:00:00Z,8.578180364583336
2022-10-14T00:00:00Z,8.57520015625
2022-10-15T00:00:00Z,8.571705399305554
2022-10-16T00:00:00Z,8.571804201388892
2022-10-17T00:00:00Z,8.572195937499998
2022-10-18T00:00:00Z,8.573604843750003
2022-10-19T00:00:00Z,8.567126600461073
2022-10-20T00:00:00Z,8.573837256944444
2022-10-21T00:00:00Z,8.574692760416665
2022-10-22T00:00:00Z,8.576209392361115
2022-10-23T00:00:00Z,8.574222760416665
2022-10-24T00:00:00Z,8.577178680555555
2022-10-25T00:00:00Z,8.567911458333333
2022-10-26T00:00:00Z,8.572309166666669
2022-10-27T00:00:00Z,8.574428020833333
2022-10-28T00:00:00Z,8.575088229166667
2022-10-29T00:00:00Z,8.568556076388889
2022-10-30T00:00:00Z,8.569788292507202
2022-11-01T00:00:00Z,8.576604503436833
2022-11-02T00:00:00Z,8.572324045138886
2022-11-03T00:00:00Z,8.57431712696586
2022-11-04T00:00:00Z,8.577381649305554
2022-11-05T00:00:00Z,8.575413559027776
2022-11-06T00:00:00Z,8.565128164611911
