time,pressure_kPa
2022-09-02 11:45:00,1.0883964659646874
2022-09-02 15:45:00,1.086190499502213
2022-09-02 19:45:00,1.0850865577921134
2022-09-02 23:45:00,1.0837816574926868
2022-09-03 03:45:00,1.0816007049453955
2022-09-03 07:45:00,1.0799275432345345
2022-09-03 11:45:00,1.078545834029088
2022-09-03 15:45:00,1.0767760909440378
2022-09-03 19:45:00,1.0751348081925793
2022-09-03 23:45:00,1.073465299388325
2022-09-04 03:45:00,1.0714483102125476
2022-09-04 07:45:00,1.0696802353225021
2022-09-04 11:45:00,1.068131969589502
2022-09-04 15:45:00,1.0663427418461482
2022-09-04 19:45:00,1.0643239240607443
2022-09-04 23:45:00,1.062239237405707
2022-09-05 03:45:00,1.0600478724548856
2022-09-05 07:45:00,1.057897621217126
2022-09-05 11:45:00,1.0558908209630609
2022-09-05 15:45:00,1.0538807108064818
2022-09-05 19:45:00,1.0517493356025647
2022-09-05 23:45:00,1.0495634893509014
2022-09-06 03:45:00,1.047353811522672
2022-09-06 07:45:00,1.0452379172965245
2022-09-06 11:45:00,1.043264395264532
2022-09-06 15:45:00,1.0413584345537854
2022-09-06 19:45:00,1.0394615637682025
2022-09-06 23:45:00,1.0375927393862137
2022-09-07 03:45:00,1.03581715962206
2022-09-07 07:45:00,1.0341248067588977
2022-09-07 11:45:00,1.0324624611387432
2022-09-07 15:45:00,1.030881077995746
2022-09-07 19:45:00,1.0294262528466316
2022-09-07 23:45:00,1.027953553790181
2022-09-08 03:45:00,1.0265565576245679
2022-09-08 07:45:00,1.0252463831371064
2022-09-08 11:45:00,1.0239672174320147
2022-09-08 15:45:00,1.0227908620602788
2022-09-08 19:45:00,1.0217719500744957
2022-09-08 23:45:00,1.020785107333378
2022-09-09 03:45:00,1.0198976943464795
2022-09-09 07:45:00,1.0191112129766775
2022-09-09 11:45:00,1.0183530103928156
2022-09-09 15:45:00,1.017660333097849
2022-09-09 19:45:00,1.0170743405594989
2022-09-09 23:45:00,1.0165400048949722
2022-09-10 03:45:00,1.0160432481944135
2022-09-10 07:45:00,1.0156250152921757
2022-09-10 11:45:00,1.015287186218308
2022-09-10 15:45:00,1.0150091238341028
2022-09-10 19:45:00,1.014805090716014
2022-09-10 23:45:00,1.014608738345214
2022-09-11 03:45:00,1.0144567013599561
2022-09-11 07:45:00,1.0144050031508025
2022-09-11 11:45:00,1.0144066706854726
2022-09-11 15:45:00,1.0144665609160193
2022-09-11 19:45:00,1.01460834464078
2022-09-11 23:45:00,1.0147771034576636
2022-09-12 03:45:00,1.0149606220294647
2022-09-12 07:45:00,1.015175922389105
2022-09-12 11:45:00,1.0154339179844751
2022-09-12 15:45:00,1.0157431471511544
2022-09-12 19:45:00,1.016095173834799
2022-09-12 23:45:00,1.0164861716034077
2022-09-13 03:45:00,1.0168555752640505
2022-09-13 07:45:00,1.017203829552421
2022-09-13 11:45:00,1.0175727333632998
2022-09-13 15:45:00,1.0179572492542226
2022-09-13 19:45:00,1.0183573368580103
2022-09-13 23:45:00,1.0187761351903053
2022-09-14 03:45:00,1.0191553102756417
2022-09-14 07:45:00,1.0194838527498804
2022-09-14 11:45:00,1.0197732162622122
2022-09-14 15:45:00,1.0200253792693816
2022-09-14 19:45:00,1.02024764351667
2022-09-14 23:45:00,1.0204896401469994
2022-09-15 03:45:00,1.0207379490707627
2022-09-15 07:45:00,1.0209334341569722
2022-09-15 11:45:00,1.021087628988997
2022-09-15 15:45:00,1.0212169587270994
2022-09-15 19:45:00,1.021263009317652
2022-09-15 23:45:00,1.0213064256898368
2022-09-16 03:45:00,1.0213659031664366
2022-09-16 07:45:00,1.0214275742043881
2022-09-16 11:45:00,1.0214770190011853
2022-09-16 15:45:00,1.0215296238336653
2022-09-16 19:45:00,1.021568413180988
2022-09-16 23:45:00,1.0216181000342677
2022-09-17 03:45:00,1.0217227092659784
2022-09-17 07:45:00,1.0218465803618622
2022-09-17 11:45:00,1.0212365312295155
2022-09-17 15:45:00,1.0207064960205825
2022-09-17 19:45:00,1.0201881815828306
2022-09-17 23:45:00,1.0197139620354099
2022-09-18 03:45:00,1.0193589258245022
2022-09-18 07:45:00,1.0190186790894453
2022-09-18 11:45:00,1.0186985748228934
2022-09-18 15:45:00,1.0184849056624166
2022-09-18 19:45:00,1.0182934259894514
2022-09-18 23:45:00,1.0181523525086944
2022-09-19 03:45:00,1.0181290766498743
2022-09-19 07:45:00,1.01812884138678
2022-09-19 11:45:00,1.0181368674974258
2022-09-19 15:45:00,1.0182685362480597
2022-09-19 19:45:00,1.01851107955454
2022-09-19 23:45:00,1.0188483559414896
2022-09-20 03:45:00,1.0193037219015308
2022-09-20 07:45:00,1.0198194500718996
2022-09-20 11:45:00,1.0203584727917532
2022-09-20 15:45:00,1.0209923113310928
2022-09-20 19:45:00,1.0217396660591782
2022-09-20 23:45:00,1.022576301765339
2022-09-21 03:45:00,1.0235146931853971
2022-09-21 07:45:00,1.024482584823251
2022-09-21 11:45:00,1.0254359041463956
2022-09-21 15:45:00,1.0264302189326926
2022-09-21 19:45:00,1.0274710454480935
2022-09-21 23:45:00,1.0285350717398318
2022-09-22 03:45:00,1.0296349475368753
2022-09-22 07:45:00,1.0307500420042808
2022-09-22 11:45:00,1.0318859625267165
2022-09-22 15:45:00,1.0330322750225023
2022-09-22 19:45:00,1.034150661873845
2022-09-22 23:45:00,1.0353256988921082
2022-09-23 03:45:00,1.0365333210740886
2022-09-23 07:45:00,1.0377574174253354
2022-09-23 11:45:00,1.038984900001557
2022-09-23 15:45:00,1.0401848738022532
2022-09-23 19:45:00,1.0413200047499358
2022-09-23 23:45:00,1.0424713320831318
2022-09-24 03:45:00,1.0436188536282502
2022-09-24 07:45:00,1.0447426841202097
2022-09-24 11:45:00,1.0458846872706131
2022-09-24 15:45:00,1.0470303162759764
2022-09-24 19:45:00,1.0481470587975812
2022-09-24 23:45:00,1.0492746630092398
2022-09-25 03:45:00,1.0504417351484696
2022-09-25 07:45:00,1.051598167379283
2022-09-25 11:45:00,1.052743656566995
2022-09-25 15:45:00,1.0538918951773408
2022-09-25 19:45:00,1.0550093484322511
2022-09-25 23:45:00,1.0561516661057089
2022-09-26 03:45:00,1.0573201570377762
2022-09-26 07:45:00,1.058413834295188
2022-09-26 11:45:00,1.0594816649869536
2022-09-26 15:45:00,1.060533734427667
2022-09-26 19:45:00,1.0615148143227742
2022-09-26 23:45:00,1.0624562224677978
2022-09-27 03:45:00,1.0633946665500242
2022-09-27 07:45:00,1.064277685049641
2022-09-27 11:45:00,1.0650984038583944
2022-09-27 15:45:00,1.0658827369357309
2022-09-27 19:45:00,1.066601488341128
2022-09-27 23:45:00,1.0672164920154956
2022-09-28 03:45:00,1.0677986902134033
2022-09-28 07:45:00,1.0683404509889853
2022-09-28 11:45:00,1.0688058315755913
2022-09-28 15:45:00,1.0692444041912865
2022-09-28 19:45:00,1.0696309508514177
2022-09-28 23:45:00,1.0699095373992777
2022-09-29 03:45:00,1.0701469668749222
2022-09-29 07:45:00,1.0703777058591066
2022-09-29 11:45:00,1.0705770899743394
2022-09-29 15:45:00,1.0707835208721048
2022-09-29 19:45:00,1.0709917546467669
2022-09-29 23:45:00,1.0711094667199983
2022-09-30 03:45:00,1.0711634961348488
2022-09-30 07:45:00,1.0712349375550383
2022-09-30 11:45:00,1.0713196713995163
2022-09-30 15:45:00,1.0714056782530774
2022-09-30 19:45:00,1.0715927411051116
2022-09-30 23:45:00,1.0717583433913178
2022-10-01 03:45:00,1.0719014098008304
2022-10-01 07:45:00,1.0720622799112012
2022-10-01 11:45:00,1.0722333313904284
2022-10-01 15:45:00,1.0723854162472373
2022-10-01 19:45:00,1.0725564380793222
2022-10-01 23:45:00,1.0727115952212187
2022-10-02 03:45:00,1.0728040603828932
2022-10-02 07:45:00,1.0728704177555102
2022-10-02 11:45:00,1.0728878831358628
2022-10-02 15:45:00,1.072803667083762
2022-10-02 19:45:00,1.07266824696069
2022-10-02 23:45:00,1.0724820491460902
2022-10-03 03:45:00,1.0722365128700857
2022-10-03 07:45:00,1.0719889195967656
2022-10-03 11:45:00,1.0716967491545506
2022-10-03 15:45:00,1.0713162883079284
2022-10-03 19:45:00,1.0709205529609451
2022-10-03 23:45:00,1.0704926713770162
