Code,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
MOD,Record Time,Retrieval Time,Node Ref,UID,Module Number,Module ID(hex),Calibration State,Board Project,Drawing,Type,Firmware Version,Issue,Sub-Issue,Serial_WO,Serial_Batch,Sensor Serial,Warm-up(s)
REP,Record Time,Retrieval Time,Node Ref,UID,Module Number,Repeat Sample,Repeat Value(s),,,,,,,,,,
BAS,Record Time,Retrieval Time,Node Ref,UID,CIS(dec),WKT(dec),RXW(ms),Range Addr1,Range Addr2,....,,,,,,,
WUL,Record Time,Retrieval Time,Node Ref,UID,Event Mask(hex),Repeat Time(s),,,,,,,,,,,
SLG,Record Time,Retrieval Time,Node Ref,UID,Event,Start Time,Repeat Period(s),Jitter(s),Event Mask(hex),,,,,,,,
ERR,Record Time,Retrieval Time,Node Ref,UID,Ref tick time(s),Logging Mask,Error Type,Data,,,,,,,,,
BAT,Record Time,Retrieval Time,Node Ref,UID,UsedPercentage %,Volts V,,,,,,,,,,,
PAG,Record Time,Retrieval Time,Node Ref,UID,Page Number,,,,,,,,,,,,
BSL,Record Time,Retrieval Time,Node Ref,UID,RangeNode Ref,RangeAddress,Range(ms),TAT(ms),,,,,,,,,
TMP,Record Time,Retrieval Time,Node Ref,UID,Index,Temperature Deg C,Serial Number,,,,,,,,,,
INC,Record Time,Retrieval Time,Node Ref,UID,Index,Pitch (deg),Roll (deg),Serial Number,,,,,,,,,
DQZ,Record Time,Retrieval Time,Node Ref,UID,Index,Pressure (kPa),Temperature (Deg C),Serial Number,,,,,,,,,
TIM,Record Time,Retrieval Time,Node Ref,UID,,,,,,,,,,,,,
SSP,Record Time,Retrieval Time,Node Ref,UID,Index,SoundSpeed (m/s),Serial Number,,,,,,,,,,
# Data,,,,,,,,,,,,,,,,,
TIM,8/19/22 19:25,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BAT,8/19/22 19:25,9/3/23 13:20,East,6870,1,14.2,,,,,,,,,,,
TIM,8/19/22 19:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/19/22 19:30,9/3/23 13:20,East,6870,Cabled,2501,79.952,80,,,,,,,,,
BSL,8/19/22 19:30,9/3/23 13:20,East,6870,West,2503,239.938,240,,,,,,,,,
BSL,8/19/22 19:30,9/3/23 13:20,East,6870,North,2504,319.939,320,,,,,,,,,
TIM,8/19/22 19:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/19/22 19:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/19/22 19:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/19/22 19:45,9/3/23 13:20,East,6870,4,20.3219,0,,,,,,,,,,
INC,8/19/22 19:45,9/3/23 13:20,East,6870,1,-0.9531,3.0344,0,,,,,,,,,
DQZ,8/19/22 19:45,9/3/23 13:20,East,6870,3,102.33192,20.03,156052,,,,,,,,,
PAG,8/19/22 20:30,9/3/23 13:20,East,6870,2,,,,,,,,,,,,
TIM,8/19/22 20:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/19/22 20:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/19/22 23:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/19/22 23:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/19/22 23:30,9/3/23 13:20,East,6870,West,2503,239.939,240,,,,,,,,,
BSL,8/19/22 23:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/19/22 23:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/19/22 23:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/19/22 23:45,9/3/23 13:20,East,6870,4,23.5883,0,,,,,,,,,,
INC,8/19/22 23:45,9/3/23 13:20,East,6870,1,-0.9344,0.7531,0,,,,,,,,,
DQZ,8/19/22 23:45,9/3/23 13:20,East,6870,3,102.9912,28.19,156052,,,,,,,,,
TIM,8/20/22 0:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/20/22 0:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 3:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/20/22 3:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/20/22 3:30,9/3/23 13:20,East,6870,West,2503,239.94,240,,,,,,,,,
BSL,8/20/22 3:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/20/22 3:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 3:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/20/22 3:45,9/3/23 13:20,East,6870,4,18.9286,0,,,,,,,,,,
INC,8/20/22 3:45,9/3/23 13:20,East,6870,1,-0.9375,0.7219,0,,,,,,,,,
DQZ,8/20/22 3:45,9/3/23 13:20,East,6870,3,102.49008,21.18,156052,,,,,,,,,
TIM,8/20/22 4:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/20/22 4:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 7:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/20/22 7:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/20/22 7:30,9/3/23 13:20,East,6870,West,2503,239.949,240,,,,,,,,,
BSL,8/20/22 7:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/20/22 7:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 7:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/20/22 7:45,9/3/23 13:20,East,6870,4,18.1072,0,,,,,,,,,,
INC,8/20/22 7:45,9/3/23 13:20,East,6870,1,-0.9437,0.7094,0,,,,,,,,,
DQZ,8/20/22 7:45,9/3/23 13:20,East,6870,3,102.27348,19.2,156052,,,,,,,,,
TIM,8/20/22 8:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/20/22 8:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 11:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TIM,8/20/22 11:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/20/22 11:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/20/22 11:30,9/3/23 13:20,East,6870,West,2503,239.959,240,,,,,,,,,
BSL,8/20/22 11:30,9/3/23 13:20,East,6870,North,2504,319.942,320,,,,,,,,,
SSP,8/20/22 11:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 11:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/20/22 11:45,9/3/23 13:20,East,6870,4,16.9536,0,,,,,,,,,,
INC,8/20/22 11:45,9/3/23 13:20,East,6870,1,-0.95,0.7062,0,,,,,,,,,
DQZ,8/20/22 11:45,9/3/23 13:20,East,6870,3,102.1711,17.71,156052,,,,,,,,,
TIM,8/20/22 12:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/20/22 12:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 15:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/20/22 15:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
PAG,8/20/22 15:30,9/3/23 13:20,East,6870,3,,,,,,,,,,,,
BSL,8/20/22 15:30,9/3/23 13:20,East,6870,West,2503,239.951,240,,,,,,,,,
BSL,8/20/22 15:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/20/22 15:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 15:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/20/22 15:45,9/3/23 13:20,East,6870,4,18.3975,0,,,,,,,,,,
INC,8/20/22 15:45,9/3/23 13:20,East,6870,1,-0.9437,0.7156,0,,,,,,,,,
DQZ,8/20/22 15:45,9/3/23 13:20,East,6870,3,102.15308,18.31,156052,,,,,,,,,
TIM,8/20/22 16:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/20/22 16:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 19:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/20/22 19:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/20/22 19:30,9/3/23 13:20,East,6870,West,2503,239.942,240,,,,,,,,,
BSL,8/20/22 19:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/20/22 19:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 19:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/20/22 19:45,9/3/23 13:20,East,6870,4,25.545,0,,,,,,,,,,
INC,8/20/22 19:45,9/3/23 13:20,East,6870,1,-0.9437,0.75,0,,,,,,,,,
DQZ,8/20/22 19:45,9/3/23 13:20,East,6870,3,102.59526,29.1,156052,,,,,,,,,
TIM,8/20/22 20:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/20/22 20:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 23:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/20/22 23:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/20/22 23:30,9/3/23 13:20,East,6870,West,2503,239.944,240,,,,,,,,,
BSL,8/20/22 23:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/20/22 23:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/20/22 23:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/20/22 23:45,9/3/23 13:20,East,6870,4,26.5828,0,,,,,,,,,,
INC,8/20/22 23:45,9/3/23 13:20,East,6870,1,-0.9531,0.7688,0,,,,,,,,,
DQZ,8/20/22 23:45,9/3/23 13:20,East,6870,3,102.91083,31.28,156052,,,,,,,,,
TIM,8/21/22 0:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/21/22 0:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/21/22 3:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/21/22 3:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/21/22 3:30,9/3/23 13:20,East,6870,West,2503,239.948,240,,,,,,,,,
BSL,8/21/22 3:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/21/22 3:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/21/22 3:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/21/22 3:45,9/3/23 13:20,East,6870,4,21.5205,0,,,,,,,,,,
INC,8/21/22 3:45,9/3/23 13:20,East,6870,1,-0.9437,0.75,0,,,,,,,,,
DQZ,8/21/22 3:45,9/3/23 13:20,East,6870,3,102.84717,25.92,156052,,,,,,,,,
TIM,8/21/22 4:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/21/22 4:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/21/22 7:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/21/22 7:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/21/22 7:30,9/3/23 13:20,East,6870,West,2503,239.946,240,,,,,,,,,
BSL,8/21/22 7:30,9/3/23 13:20,East,6870,North,2504,319.939,320,,,,,,,,,
SSP,8/21/22 7:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/21/22 7:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
PAG,8/21/22 7:45,9/3/23 13:20,East,6870,4,,,,,,,,,,,,
TMP,8/21/22 7:45,9/3/23 13:20,East,6870,4,19.0914,0,,,,,,,,,,
INC,8/21/22 7:45,9/3/23 13:20,East,6870,1,-0.95,0.725,0,,,,,,,,,
DQZ,8/21/22 7:45,9/3/23 13:20,East,6870,3,102.39381,21,156052,,,,,,,,,
TIM,8/21/22 8:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/21/22 8:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/21/22 11:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/21/22 11:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/21/22 11:30,9/3/23 13:20,East,6870,West,2503,239.95,240,,,,,,,,,
BSL,8/21/22 11:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/21/22 11:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/21/22 11:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/21/22 11:45,9/3/23 13:20,East,6870,4,17.5264,0,,,,,,,,,,
INC,8/21/22 11:45,9/3/23 13:20,East,6870,1,-0.95,0.7188,0,,,,,,,,,
DQZ,8/21/22 11:45,9/3/23 13:20,East,6870,3,102.21427,18.77,156052,,,,,,,,,
TIM,8/21/22 12:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/21/22 12:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/21/22 15:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/21/22 15:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/21/22 15:30,9/3/23 13:20,East,6870,West,2503,239.952,240,,,,,,,,,
