date_1day,depth_diff_mean,pressure_diff_mean
2020/01/01,-34.5020833651676,-23.1083445737107
2020/01/02,-34.4996049305555,-23.1087245486111
2020/01/03,-34.5016417881944,-23.1131708506944
2020/01/04,-34.4990747048611,-23.11480140625
2020/01/05,-34.4968942361111,-23.1163901388889
2020/01/06,-34.5002566319445,-23.1210515277778
2020/01/07,-34.49912328125,-23.1217838541667
2020/01/08,-34.4972826937547,-23.1155134687735
2020/01/13,-34.4996251388889,-23.1064913368056
2020/01/14,-34.4996774826389,-23.1057164756944
2020/01/15,-34.4972815451389,-23.1052284201389
2020/01/16,-34.4995232118056,-23.10925078125
2020/01/17,-34.4977484895833,-23.1113809375
2020/01/18,-34.4975449652778,-23.1148603125
2020/01/19,-34.4979138715278,-23.11853703125
2020/01/20,-34.4967113888889,-23.1203812847222
2020/01/21,-34.4987086805556,-23.1229330381944
2020/01/22,-34.4961951388889,-23.1205737673611
2020/01/23,-34.4966338541666,-23.11835625
2020/01/24,-34.4975365972222,-23.1152207465277
2020/01/25,-34.49618203125,-23.1102671354167
2020/01/26,-34.4974784548611,-23.1076980208333
2020/01/27,-34.4971672569444,-23.1053779166667
2020/01/28,-34.4976944444445,-23.1053980555556
2020/01/29,-34.4977595833333,-23.1069807465278
2020/01/30,-34.4974142361111,-23.1097605381944
2020/01/31,-34.4988634895833,-23.1144068923611
2020/02/01,-34.4967918229167,-23.11644375
2020/02/02,-34.4932410243056,-23.1165711458333
2020/02/03,-34.4982894444444,-23.1212553819444
2020/02/04,-34.4958872743056,-23.1197074479166
2020/02/05,-34.4941419791667,-23.1173372743056
2020/02/06,-34.4935001388889,-23.1144170659722
2020/02/07,-34.4947852256945,-23.1116427604167
2020/02/08,-34.4942926388889,-23.1071480381945
2020/02/09,-34.4936462431544,-23.099223483023
2020/02/10,-34.4957069965278,-23.1026502951389
2020/02/11,-34.4928129340278,-23.1011799305556
2020/02/12,-34.4928463194445,-23.1036727083333
2020/02/13,-34.4933861458333,-23.1075735069444
2020/02/14,-34.4927224826389,-23.1107756770833
2020/02/15,-34.4916849826389,-23.1132596006945
2020/02/16,-34.4925703645834,-23.11631046875
2020/02/17,-34.4929881597222,-23.1180874479167
2020/02/18,-34.4919575347222,-23.117555625
2020/02/19,-34.4924489583333,-23.1163616145833
2020/02/20,-34.4925379113019,-23.1125801502146
2020/02/21,-34.4936768055556,-23.1099909027778
2020/02/22,-34.4923397222222,-23.1052224305556
2020/02/23,-34.4921105034722,-23.1024420486111
2020/02/24,-34.4912114930555,-23.1010439409722
2020/02/25,-34.4939077083333,-23.1039209201389
2020/02/26,-34.4922358159722,-23.1053969270833
2020/02/27,-34.4902531944445,-23.1076236979167
2020/02/28,-34.4904404181892,-23.1129148396265
2020/02/29,-34.4916792268849,-23.1154712519589
2020/03/01,-34.4905417361111,-23.11654671875
2020/03/02,-34.4912742534722,-23.1172903645833
2020/03/03,-34.4889049305556,-23.1144967361111
2020/03/04,-34.4886822222222,-23.1119790972222
2020/03/05,-34.4906334027778,-23.1100617708333
2020/03/06,-34.4890732118055,-23.1052838888889
2020/03/07,-34.4889103298611,-23.1015088541667
2020/03/08,-34.4890800520834,-23.0988808680555
2020/03/09,-34.4887196006944,-23.09773734375
