time_utc,CE_ma_cm,WC_ma_cm,WE_ma_cm,Pn,Pe,Pw,dP_NE,dP_NW,dP_EW,eq_count_e,eq_count_w,eq_e_30d,eq_w_30d
2022-09-01 19:30:00+00:00,164217.7494766185,176572.2903101505,326038.486106562,,,,,,,0,0,0.0,0.0
2022-09-01 23:30:00+00:00,164214.41568877856,176571.42868838372,326036.0273383509,,,,,,,0,0,0.0,0.0
2022-09-02 03:30:00+00:00,164215.12970321017,176569.81667482064,326034.1948218607,,,,,,,0,0,0.0,0.0
2022-09-02 11:30:00+00:00,164215.63564610627,176568.9726118633,326032.6830418531,1.0883964659646874,0.7096361231887048,0.8562534859246475,0.3787603427759826,0.23214298004003997,-0.1466173627359426,0,0,0.0,0.0
2022-09-02 15:30:00+00:00,164215.0809303657,176568.9691791219,326032.42546521826,1.086190499502213,0.7087273056171397,0.8547631094889458,0.3774631938850732,0.23142739001326706,-0.14603580387180615,0,0,0.0,0.0
2022-09-02 19:30:00+00:00,164213.59955630588,176568.7989309975,326030.664075392,1.0850865577921134,0.7086967550672886,0.8543001229999532,0.3763898027248248,0.2307864347921602,-0.1456033679326646,0,0,0.0,0.0
2022-09-02 23:30:00+00:00,164211.8084257601,176568.78831532702,326028.99349963106,1.0837816574926868,0.7085541934606899,0.8534515805294465,0.3752274640319969,0.23033007696324037,-0.14489738706875654,0,0,0.0,0.0
2022-09-03 07:30:00+00:00,164211.28937528844,176567.75061270737,326026.8143881723,1.0799275432345343,0.7070969999454503,0.8506211683593063,0.37283054328908405,0.22930637487522798,-0.14352416841385607,0,0,0.0,0.0
2022-09-03 11:30:00+00:00,164210.95222454015,176567.40330837475,326025.795194208,1.078545834029088,0.7068019518389125,0.8496562800889426,0.3717438821901756,0.22888955394014554,-0.14285432825003008,0,0,0.0,0.0
2022-09-03 19:30:00+00:00,164210.84188727086,176567.09829325363,326025.9557782044,1.0751348081925791,0.7055930263209055,0.8471599927329013,0.36954178187167364,0.2279748154596778,-0.14156696641199584,0,0,0.0,0.0
2022-09-03 23:30:00+00:00,164210.892915922,176566.68026377092,326025.1659139906,1.073465299388325,0.7049861830290833,0.8459335195047318,0.3684791163592416,0.22753177988359308,-0.1409473364756485,0,0,0.0,0.0
2022-09-04 07:30:00+00:00,164210.74648089067,176565.7420470088,326023.19039265026,1.069680235322502,0.7033634867461271,0.8430687801952086,0.36631674857637475,0.2266114551272933,-0.13970529344908145,0,0,0.0,0.0
2022-09-04 15:30:00+00:00,164210.96504747108,176565.4454155796,326022.6874493969,1.0663427418461482,0.702087004536473,0.8405491846667137,0.3642557373096752,0.2257935571794345,-0.1384621801302407,0,0,0.0,0.0
2022-09-04 19:30:00+00:00,164210.8044956789,176565.29808172467,326022.4757868787,1.0643239240607445,0.7011162712889156,0.8389537978365984,0.36320765277182887,0.2253701262241461,-0.13783752654768278,0,0,0.0,0.0
2022-09-04 23:30:00+00:00,164209.90117759883,176565.4625008126,326022.4003409281,1.062239237405707,0.700068313906553,0.8372986458922468,0.36217092349915403,0.22494059151346024,-0.1372303319856938,0,0,0.0,0.0
2022-09-05 03:30:00+00:00,164209.78410181095,176565.45614610802,326022.44577865786,1.0600478724548856,0.6989243207450032,0.8355417884106096,0.3611235517098824,0.22450608404427608,-0.13661746766560634,0,0,0.0,0.0
2022-09-05 07:30:00+00:00,164209.75361980568,176565.50399230266,326022.7419097387,1.057897621217126,0.6977920708788725,0.833803086851722,0.36010555033825353,0.22409453436540405,-0.13601101597284948,0,0,0.0,0.0
2022-09-05 11:30:00+00:00,164209.89003058872,176565.2967599807,326022.7363323117,1.0558908209630609,0.6967759131742418,0.8321994005972169,0.35911490778881905,0.223691420365844,-0.13542348742297505,0,0,0.0,0.0
2022-09-05 19:30:00+00:00,164209.67983596135,176564.83307777543,326022.0535730556,1.051749335602565,0.6945705302986767,0.828854395242867,0.35717880530388824,0.22289494035969792,-0.1342838649441903,0,0,0.0,0.0
2022-09-05 23:30:00+00:00,164209.492395758,176564.68684579685,326020.9806228519,1.0495634893509014,0.6933360026523219,0.8270652351879552,0.3562274866985795,0.22249825416294622,-0.1337292325356333,0,0,0.0,0.0
2022-09-06 03:30:00+00:00,164209.52639657469,176564.27784703087,326020.50612094905,1.047353811522672,0.6920746948041795,0.8252484132605272,0.35527911671849244,0.2221053982621447,-0.13317371845634773,0,0,0.0,0.0
2022-09-06 07:30:00+00:00,164209.27364516552,176564.02180059277,326020.3869380786,1.0452379172965245,0.6908881296136605,0.8234949427649132,0.35434978768286396,0.2217429745316113,-0.13260681315125267,0,0,0.0,0.0
2022-09-06 11:30:00+00:00,164209.15178131024,176563.82228807037,326020.20568433224,1.043264395264532,0.6898145466200662,0.8218638248933984,0.3534498486444657,0.2214005703711336,-0.13204927827333213,0,0,0.0,0.0
2022-09-06 15:30:00+00:00,164209.1439659967,176563.8573293998,326020.1249005154,1.0413584345537854,0.6887945971668974,0.820286751574565,0.352563837386888,0.22107168297922042,-0.1314921544076676,0,0,0.0,0.0
2022-09-06 19:30:00+00:00,164208.98255834432,176563.8163892566,326020.1593596686,1.0394615637682023,0.6877677864878569,0.818719924568411,0.35169377728034545,0.22074163919979128,-0.13095213808055417,0,0,0.0,0.0
2022-09-06 23:30:00+00:00,164208.51625921676,176563.94115290715,326019.8795146894,1.0375927393862137,0.6867592111045459,0.8171666464033904,0.3508335282816678,0.22042609298282323,-0.13040743529884458,0,0,0.0,0.0
2022-09-07 03:30:00+00:00,164208.3294301747,176564.07494879176,326019.5094785102,1.03581715962206,0.685826171833598,0.8156918380728438,0.34999098778846205,0.22012532154921616,-0.1298656662392459,0,0,0.0,0.0
2022-09-07 07:30:00+00:00,164208.05317903144,176563.83739556387,326019.08772447694,1.0341248067588975,0.6849551174902788,0.8142842944174696,0.3491696892686187,0.21984051234142787,-0.12932917692719081,0,0,0.0,0.0
2022-09-07 11:30:00+00:00,164208.09835247154,176563.42811884495,326018.63207789924,1.0324624611387432,0.6840979735635629,0.8129069947728907,0.34836448757518024,0.21955546636585244,-0.1288090212093278,0,0,0.0,0.0
2022-09-07 19:30:00+00:00,164207.9489506259,176563.31503259004,326018.92594231426,1.0294262528466316,0.6826060575278465,0.8104155415257208,0.34682019531878505,0.21901071132091077,-0.12780948399787428,0,0,0.0,0.0
2022-09-07 23:30:00+00:00,164207.7753144628,176563.24048616638,326018.9527999201,1.027953553790181,0.6818933971092446,0.809205909046076,0.34606015668093637,0.2187476447441049,-0.12731251193683146,0,0,0.0,0.0
2022-09-08 03:30:00+00:00,164207.57137917535,176563.0336599747,326018.775746963,1.026556557624568,0.6812395531373453,0.8080614368315222,0.3453170044872228,0.2184951207930459,-0.1268218836941769,0,0,0.0,0.0
2022-09-08 07:30:00+00:00,164207.60973728984,176562.81651276915,326018.69978021004,1.0252463831371064,0.6806604749960713,0.806999237263883,0.34458590814103507,0.21824714587322336,-0.1263387622678117,0,0,0.0,0.0
