time_utc,CE_ma_cm,WC_ma_cm,WE_ma_cm,A_cm2,areal_strain,log_areal_strain
2022-10-01 19:30:00+00:00,164208.8741112466,176563.15321303278,326019.04891692725,8078034137.4082775,0.0,0.0
2022-10-01 23:30:00+00:00,164208.8827365223,176563.16415648776,326019.17442608,8078009124.283444,-3.096437129035401e-06,-3.096441923006744e-06
2022-10-02 03:30:00+00:00,164208.81918822546,176563.15354815038,326019.2188930896,8077977521.485009,-7.008626394133799e-06,-7.008650954670522e-06
2022-10-02 07:30:00+00:00,164208.8085124731,176563.143045772,326019.20141911786,8077975839.4871645,-7.216845103852343e-06,-7.216871145404261e-06
2022-10-02 11:30:00+00:00,164208.76422290324,176563.12055847785,326019.16388785513,8077966249.060282,-8.404067975087415e-06,-8.404103289464536e-06
2022-10-02 15:30:00+00:00,164208.74458072678,176563.09130745282,326019.1283369331,8077961211.621361,-9.027665107130822e-06,-9.027705856744716e-06
2022-10-02 19:30:00+00:00,164208.72095692865,176563.05530395877,326019.1001514959,8077951383.858281,-1.02442684183357e-05,-1.0244320891211778e-05
2022-10-02 23:30:00+00:00,164208.72677421905,176562.9732998779,326019.0883249328,8077933019.345629,-1.2517657257737902e-05,-1.2517735604263324e-05
2022-10-03 07:30:00+00:00,164208.7151759614,176562.88261337674,326019.0490242645,8077914017.125667,-1.4869989476085088e-05,-1.487010003547461e-05
2022-10-03 11:30:00+00:00,164208.72903517564,176562.85763882712,326019.04762847145,8077911282.202528,-1.5208552434864409e-05,-1.5208668086070583e-05
2022-10-03 15:30:00+00:00,164208.7620338662,176562.84479629254,326019.0798065714,8077909149.373319,-1.5472580683906223e-05,-1.5472700385517463e-05
2022-10-03 19:30:00+00:00,164208.75709012544,176562.82099744806,326018.9528270905,8077931968.389455,-1.2647757744566057e-05,-1.2647837728128448e-05
2022-10-03 23:30:00+00:00,164208.7335222182,176562.8534532219,326018.9832304906,8077927017.601366,-1.3260628153988208e-05,-1.3260716076895003e-05
