time_utc,CE_ma_cm,WC_ma_cm,WE_ma_cm,Pn,Pe,Pw,dP_NE,dP_NW,dP_EW,eq_count_e,eq_count_w,eq_e_30d,eq_w_30d,A_cm2,areal_strain,log_areal_strain,detF,log_detF,eps_xx,eps_yy,eps_xy,eps1,eps2,dilatation,max_shear,theta_eps1_deg_rel_CE,theta_eps1_deg_masked,detF_EWframe,log_detF_EWframe,eps_xx_EWframe,eps_yy_EWframe,eps_xy_EWframe,eps1_EWframe,eps2_EWframe,dilatation_EWframe,max_shear_EWframe,theta_eps1_deg_rel_EW,theta_eps1_deg_masked_EW
2022-10-01 19:30:00+00:00,164208.8741112466,176563.15321303278,326019.04891692725,1.0725564380793222,0.849933695925602,0.891572238967138,0.22262274215372024,0.18098419911218422,-0.041638543041536025,0,0,0.0,0.0,8078034137.4082775,0.0,0.0,1.0,0.0,0.0,0.0,1.0634798848476234e-16,1.0634798848476234e-16,-1.0634798848476234e-16,0.0,1.0634798848476234e-16,45.0,,1.0,0.0,0.0,0.0,5.561548724384748e-17,5.561548724384748e-17,-5.561548724384748e-17,0.0,5.561548724384748e-17,45.0,
2022-10-01 23:30:00+00:00,164208.8827365223,176563.16415648776,326019.17442608,1.0727115952212187,0.8505922303457947,0.8919027875844021,0.22211936487542405,0.18080880763681662,-0.04131055723860744,0,0,0.0,0.0,8078009124.283444,-3.096437129035401e-06,-3.096441923006744e-06,0.9999969035628685,-3.096441925449242e-06,5.252624579732412e-08,-3.148963211851985e-06,-1.0844445319985957e-06,3.8527670182355766e-07,-3.4817136678782188e-06,-3.096436966054661e-06,1.9334951848508883e-06,-17.058083758727875,,0.9999969035628693,-3.096441924672084e-06,3.8497490617572794e-07,-3.481410696615228e-06,3.419387975389037e-08,3.8527728935659624e-07,-3.4817130797960964e-06,-3.0964357904395e-06,1.9334951845763463e-06,0.5066646014100513,
2022-10-02 03:30:00+00:00,164208.81918822546,176563.15354815038,326019.2188930896,1.0728040603828932,0.8511921481485986,0.8921781513038137,0.22161191223429466,0.1806259090790795,-0.04098600315521517,0,0,0.0,0.0,8077977521.485009,-7.008626394133799e-06,-7.008650954670522e-06,0.9999929913736062,-7.008650954337453e-06,-3.3447048120027745e-07,-6.67415814492589e-06,-2.490695956320937e-06,5.269976650939213e-07,-7.535626291220089e-06,-7.008628626126168e-06,4.031311978157005e-06,-19.079196520595858,,0.9999929913736089,-7.008650951672899e-06,5.213688063498978e-07,-7.529991271626457e-06,-2.1301755557882521e-07,5.270007442859365e-07,-7.535623209562496e-06,-7.008622465276559e-06,4.031311976924216e-06,-1.51448136569104,
2022-10-02 07:30:00+00:00,164208.8085124731,176563.143045772,326019.20141911786,1.0728704177555102,0.851765914982689,0.8924342910037206,0.22110450277282112,0.18043612675178955,-0.04066837602103157,0,0,0.0,0.0,8077975839.4871645,-7.216845103852343e-06,-7.216871145404261e-06,0.9999927831548953,-7.216871146292446e-06,-3.994837298737508e-07,-6.81736409824385e-06,-2.5229093409936616e-06,4.7353255907398547e-07,-7.690380387191586e-06,-7.216847828117601e-06,4.081956473132786e-06,-19.087438491499185,,0.9999927831548975,-7.216871144071984e-06,4.677707978739676e-07,-7.684612305713934e-06,-2.1686648988591195e-07,4.7353571833101483e-07,-7.69037722617098e-06,-7.216841507839966e-06,4.081956472250998e-06,-1.5227241495240094,
2022-10-02 11:30:00+00:00,164208.76422290324,176563.12055847785,326019.16388785513,1.0728878831358628,0.8522975635830041,0.8926395998642811,0.22059031955285868,0.1802482832715817,-0.04034203628127697,0,0,0.0,0.0,8077966249.060282,-8.404067975087415e-06,-8.404103289464536e-06,0.9999915959320228,-8.404103291573978e-06,-6.691985677820256e-07,-7.73487458560762e-06,-2.8940968292266116e-06,3.648815147710691e-07,-8.768954668160715e-06,-8.404073153389646e-06,4.566918091465892e-06,-19.662147352294298,,0.9999915959320247,-8.404103289686582e-06,3.526509517737253e-07,-8.756715838997842e-06,-3.340658836627689e-07,3.648856470515302e-07,-8.768950534275647e-06,-8.404064887224116e-06,4.566918090663589e-06,-2.097440285264213,
2022-10-02 15:30:00+00:00,164208.74458072678,176563.09130745282,326019.1283369331,1.072803667083762,0.8527226693299319,0.8927482797686108,0.22008099775383005,0.18005538731515114,-0.040025610438678916,0,0,0.0,0.0,8077961211.621361,-9.027665107130822e-06,-9.027705856744716e-06,0.9999909723348913,-9.027705858299041e-06,-7.888155894031357e-07,-8.238856018194518e-06,-2.9733015899311434e-06,2.5232595828432613e-07,-9.279997565881981e-06,-9.027671607597654e-06,4.7661617620831534e-06,-19.298388861027547,,0.9999909723348914,-9.027705858188017e-06,2.4360541539536484e-07,-9.271268265442778e-06,-2.882579586970181e-07,2.5233033695298585e-07,-9.279993187000399e-06,-9.027662850047413e-06,4.766161761976692e-06,-1.7336853720215117,
2022-10-02 19:30:00+00:00,164208.72095692865,176563.05530395877,326019.1001514959,1.07266824696069,0.8531017630432239,0.892810273748296,0.21956648391746614,0.17985797321239405,-0.039708510705072086,0,0,0.0,0.0,8077951383.858281,-1.02442684183357e-05,-1.0244320891211778e-05,0.9999897557315812,-1.0244320891655872e-05,-9.326799101927463e-07,-9.311597193306653e-06,-3.2200854748743793e-06,1.6184802798469542e-07,-1.0406125131484095e-05,-1.02442771034994e-05,5.283986579734395e-06,-18.77323032364785,,0.9999897557315827,-1.0244320890212567e-05,1.5715207069000314e-07,-1.0401418853445143e-05,-2.2284339141335408e-07,1.6185318762645268e-07,-1.0406119970381592e-05,-1.024426678275514e-05,5.283986579004023e-06,-1.2085357806518857,
2022-10-02 23:30:00+00:00,164208.72677421905,176562.9732998779,326019.0883249328,1.0724820491460902,0.853435287653955,0.8928203656629368,0.2190467614921352,0.17966168348315348,-0.03938507800898172,0,0,0.0,0.0,8077933019.345629,-1.2517657257737902e-05,-1.2517735604263324e-05,0.99998748234274,-1.2517735606483797e-05,-8.972537468565633e-07,-1.1620413939539276e-05,-3.466500992818103e-06,1.2577031545535435e-07,-1.2643438001851193e-05,-1.251766768639584e-05,6.384604158653273e-06,-16.442236430883597,,0.9999874823427422,-1.2517735604374347e-05,1.2087638956437274e-07,-1.2638532119746415e-05,2.5008773227094156e-07,1.25776292623109e-07,-1.2643432022805152e-05,-1.2517655730182042e-05,6.3846041577141305e-06,1.1224375041383183,
2022-10-03 07:30:00+00:00,164208.7151759614,176562.88261337674,326019.0490242645,1.0719889195967656,0.8539860816890295,0.8927267011947112,0.2180028379077361,0.17926221840205436,-0.03874061950568175,0,0,0.0,0.0,8077914017.125667,-1.4869989476085088e-05,-1.487010003547461e-05,0.9999851300105229,-1.4870100036473825e-05,-9.678848725824807e-07,-1.3902118060182822e-05,-3.7296991722098893e-06,3.053622041450622e-08,-1.490053915317981e-05,-1.4870002932765303e-05,7.4655376867971584e-06,-14.9864001764021,,0.9999851300105245,-1.487010003491949e-05,3.292361938633803e-10,-1.4870318706838859e-05,6.709771834558078e-07,3.054295074701417e-08,-1.4900532421392008e-05,-1.4869989470644995e-05,7.465537686069511e-06,2.5782541612605314,
2022-10-03 11:30:00+00:00,164208.72903517564,176562.85763882712,326019.04762847145,1.0716967491545506,0.8542239251412371,0.8926347901854981,0.21747282401331347,0.17906195896905253,-0.038410865044260945,0,0,0.0,0.0,8077911282.202528,-1.5208552434864409e-05,-1.5208668086070583e-05,0.9999847914475638,-1.5208668087402871e-05,-8.834849624106411e-07,-1.4325080129773404e-05,-3.6558851885483116e-06,4.6509352310679234e-08,-1.5255074444494725e-05,-1.5208565092184045e-05,7.650791898402702e-06,-14.27234312817842,,0.999984791447566,-1.5208668085182392e-05,-3.952087435088458e-09,-1.5204600406604207e-05,8.773193976270331e-07,4.651565030819669e-08,-1.5255068144347492e-05,-1.5208552494039296e-05,7.650791897327844e-06,3.292307413324096,
