time,pressure_kPa
2022-09-02 11:45:00,1.2397920994735614
2022-09-02 15:45:00,1.2384779274862012
2022-09-02 19:45:00,1.2367045083077148
2022-09-02 23:45:00,1.2356608622308158
2022-09-03 03:45:00,1.2339699978412682
2022-09-03 07:45:00,1.2320807168356016
2022-09-03 11:45:00,1.2307095614950023
2022-09-03 15:45:00,1.229613589165183
2022-09-03 19:45:00,1.2285504604349424
2022-09-03 23:45:00,1.2278237086411536
2022-09-04 03:45:00,1.2271540804987042
2022-09-04 07:45:00,1.2264343396391268
2022-09-04 11:45:00,1.2260186968493285
2022-09-04 15:45:00,1.2258818318600138
2022-09-04 19:45:00,1.2256284954284637
2022-09-04 23:45:00,1.2253090284077643
2022-09-05 03:45:00,1.2249436316985391
2022-09-05 07:45:00,1.2245623562169687
2022-09-05 11:45:00,1.2243738210199808
2022-09-05 15:45:00,1.224404493232487
2022-09-05 19:45:00,1.2244290745550512
2022-09-05 23:45:00,1.2243155805784804
2022-09-06 03:45:00,1.2241646463863498
2022-09-06 07:45:00,1.2240085446541495
2022-09-06 11:45:00,1.2239158680241236
2022-09-06 15:45:00,1.223921111927806
2022-09-06 19:45:00,1.2239101797297702
2022-09-06 23:45:00,1.2239021284814433
2022-09-07 03:45:00,1.2239016058907697
2022-09-07 07:45:00,1.2239882526638515
2022-09-07 11:45:00,1.2241237868503607
2022-09-07 15:45:00,1.2243045494363969
2022-09-07 19:45:00,1.2245584835456447
2022-09-07 23:45:00,1.2248835190881864
2022-09-08 03:45:00,1.2252257756617577
2022-09-08 07:45:00,1.2256488710793545
2022-09-08 11:45:00,1.2261273022204724
2022-09-08 15:45:00,1.2266961733935444
2022-09-08 19:45:00,1.2274005391920628
2022-09-08 23:45:00,1.2282113342787853
2022-09-09 03:45:00,1.2290414096873197
2022-09-09 07:45:00,1.2299590049497489
2022-09-09 11:45:00,1.2309666684039595
2022-09-09 15:45:00,1.2320492620192867
2022-09-09 19:45:00,1.2331834312049776
2022-09-09 23:45:00,1.2343185048034881
2022-09-10 03:45:00,1.2354190249923782
2022-09-10 07:45:00,1.2365073406574159
2022-09-10 11:45:00,1.2376314447310692
2022-09-10 15:45:00,1.2387871868581715
2022-09-10 19:45:00,1.2399508643205384
2022-09-10 23:45:00,1.2411035896803486
2022-09-11 03:45:00,1.242234693620666
2022-09-11 07:45:00,1.2433728471503653
2022-09-11 11:45:00,1.2445411861110187
2022-09-11 15:45:00,1.2457231794217347
2022-09-11 19:45:00,1.246920979672978
2022-09-11 23:45:00,1.2481537403710434
2022-09-12 03:45:00,1.2493817973159298
2022-09-12 07:45:00,1.250598803369303
2022-09-12 11:45:00,1.2518276478641368
2022-09-12 15:45:00,1.2530788726033923
2022-09-12 19:45:00,1.2543352175646196
2022-09-12 23:45:00,1.2556072982667104
2022-09-13 03:45:00,1.2568763107518932
2022-09-13 07:45:00,1.2581106777637008
2022-09-13 11:45:00,1.259334360177504
2022-09-13 15:45:00,1.2605766645983483
2022-09-13 19:45:00,1.261823357501851
2022-09-13 23:45:00,1.263074434610618
2022-09-14 03:45:00,1.2642790905212908
2022-09-14 07:45:00,1.2654066671546944
2022-09-14 11:45:00,1.2664439344879026
2022-09-14 15:45:00,1.2674143114085432
2022-09-14 19:45:00,1.2683451137336428
2022-09-14 23:45:00,1.269253366056905
