,CE_MA30,WC_MA30,WE_MA30,Pc_daily,CE_season_fit,CE_deseason_PcKept,WC_season_fit,WC_deseason_PcKept,WE_season_fit,WE_deseason_PcKept
2022-10-15 00:00:00+00:00,164208.79003253876,176562.09650645073,326019.3884799605,1.2974075192766275,1.5385587163686651,164207.2514738224,1.3626853786129822,176560.73382107212,2.927501981047463,326016.46097797947
2022-10-16 00:00:00+00:00,164208.6353239131,176561.88521961178,326018.8212358194,1.27838949274701,1.5227674691274913,164207.11255644396,1.3523928198230963,176560.53282679195,2.8794563511690594,326015.94177946827
2022-10-17 00:00:00+00:00,164208.71356231978,176561.60674729027,326018.4751423237,1.2696423334567346,1.5065256104932292,164207.2070367093,1.3417000662399163,176560.26504722403,2.830558643830346,326015.64458367985
2022-10-18 00:00:00+00:00,164208.67857336527,176561.49899769464,326018.46360076295,1.2647853135971066,1.4898379466931562,164207.18873541857,1.3306102820212575,176560.16838741262,2.7808233286496136,326015.6827774343
2022-10-19 00:00:00+00:00,164208.56487000023,176561.32493782858,326018.21504244866,1.2466391683292386,1.4727094158754688,164207.09216058435,1.3191267488126877,176560.00581107978,2.730265123106788,326015.48477732553
2022-10-20 00:00:00+00:00,164208.55558291316,176561.15017770947,326018.26524224645,1.2201133906867956,1.4551450866480073,164207.1004378265,1.3072528647764354,176559.84292484468,2.678898988188294,326015.58634325827
2022-10-21 00:00:00+00:00,164208.68584569512,176561.06194441897,326018.3531709815,1.211682841621041,1.4371501565783737,164207.24869553852,1.2949921435858196,176559.7669522754,2.626740123959854,326015.72643085755
2022-10-22 00:00:00+00:00,164208.80112639378,176561.004921544,326018.2801788533,1.2198398435020863,1.4187299506558861,164207.38239644314,1.2823482133854969,176559.7225733306,2.5738039650685502,326015.70637488825
2022-10-23 00:00:00+00:00,164208.8208770832,176560.76177187552,326017.931711183,1.2082244010201368,1.3998899197158294,164207.4209871635,1.2693248157178343,176559.4924470598,2.5201061761754584,326015.41160500684
2022-10-24 00:00:00+00:00,164208.99423018465,176560.9172220724,326018.1355328849,1.1782217016998402,1.3806356388264656,164207.6135945458,1.2559258044157284,176559.661296268,2.4656626473202268,326015.6698702376
2022-10-25 00:00:00+00:00,164208.91033877435,176561.00688906183,326017.85806051927,1.1600661777223042,1.3609728056392816,164207.5493659687,1.2421551444621926,176559.76473391737,2.4104894892189552,326015.44757103006
2022-10-26 00:00:00+00:00,164208.83713117134,176560.90213508796,326017.37762193964,1.146559849300805,1.340907238702962,164207.49622393263,1.2280169108170558,176559.67411817715,2.3546030284967774,326015.02301891113
2022-10-27 00:00:00+00:00,164208.87554378988,176561.01070124566,326017.52270250657,1.1277800757122047,1.3204448757415868,164207.55509891413,1.213515287211116,176559.79718595845,2.2980198028565466,326015.22468270373
