date_1day,depth_diff_mean,pressure_diff_mean
2019/01/01,-21.3702635416667,-14.3228289583333
2019/01/02,-21.3719857614169,-14.3276367945824
2019/01/03,-21.3668199826389,-14.3259392534722
2019/01/04,-21.3690603924292,-14.3269067372808
2019/01/05,-21.3689722125738,-14.3242475686002
2019/01/06,-21.3717355404936,-14.3220699687174
2019/01/07,-21.371054974822,-14.3170481854489
2019/01/08,-21.3768626824183,-14.3168440583739
2019/01/09,-21.3798132835562,-14.3161098628234
2019/01/10,-21.3750362389304,-14.3121343462407
2019/01/11,-21.3763289857589,-14.314107242098
2019/01/12,-21.381079006772,-14.3197871158187
2019/01/13,-21.3822280479333,-14.3238467176103
2019/01/14,-21.3806250737975,-14.3264275395034
2019/01/15,-21.3805746875,-14.3300345486111
2019/01/16,-21.3819031787389,-14.3339617682821
2019/01/17,-21.38269078125,-14.3360264409722
2019/01/18,-21.3885158763245,-14.3391746221991
2019/01/19,-21.3912576141691,-14.3377708977253
2019/01/20,-21.3819842132685,-14.3266800798888
2019/01/21,-21.3902421527778,-14.3272553993056
2019/01/22,-21.3904743834665,-14.3238263112192
2019/01/23,-21.3898737847222,-14.3219185590278
2019/01/24,-21.390936325751,-14.3230292238236
2019/01/25,-21.392274132217,-14.3257295133438
2019/01/26,-21.3880053838138,-14.3255204237582
2019/01/27,-21.3916486021879,-14.3314242055912
2019/01/28,-21.3917356026398,-14.3354402396666
2019/01/29,-21.3917162237276,-14.3392009206184
2019/01/30,-21.3903827023272,-14.3409212921153
2019/01/31,-21.3948479854116,-14.3444670545328
2019/02/01,-21.3959906770833,-14.3434577604167
2019/02/02,-21.3957056626715,-14.3396212437033
2019/02/03,-21.3923980545423,-14.3328866770888
2019/02/04,-21.4016813020834,-14.3348144618056
2019/02/05,-21.4033180681029,-14.3327400625434
2019/02/06,-21.3966985416667,-14.3268465625
2019/02/07,-21.3958999479167,-14.3267896527778
2019/02/08,-21.396096822365,-14.3291662615037
2019/02/09,-21.3985839208196,-14.3342685014759
2019/02/10,-21.4058057118055,-14.3429297916667
2019/02/11,-21.4010457986111,-14.3432623784722
2019/02/12,-21.4014738843549,-14.3462953290502
2019/02/13,-21.4025752256944,-14.3486233854167
2019/02/14,-21.4025942842251,-14.3486296386379
2019/02/15,-21.4033653872873,-14.3471671587357
2019/02/16,-21.4029978812087,-14.3430067210837
2019/02/17,-21.4093927256944,-14.3422088541667
2019/02/18,-21.4062416218093,-14.3352789720438
2019/02/19,-21.4034750520833,-14.3303278298611
2019/02/20,-21.4065389130057,-14.3318229553742
2019/02/21,-21.4058792151415,-14.3331865080743
2019/02/22,-21.4079432615492,-14.3378578846822
2019/02/23,-21.4097824244529,-14.3429425494963
2019/02/24,-21.4077088240403,-14.3453525447281
2019/02/25,-21.4079881403021,-14.3489505816982
2019/02/26,-21.4083956408475,-14.3518340048628
2019/02/27,-21.4089969444444,-14.3534608333333
2019/02/28,-21.4155440604377,-14.3571241229594
2019/03/01,-21.4109341666667,-14.3513112673611
2019/03/02,-21.4104647662089,-14.3468166521815
2019/03/03,-21.409760635527,-14.3418304566765
2019/03/04,-21.4098514236111,-14.3381810069445
2019/03/05,-21.4129478374153,-14.33821648428
2019/03/06,-21.4121285639868,-14.3376198645598
2019/03/07,-21.4086335416667,-14.3370398090278
2019/03/08,-21.4123070486111,-14.3426048090278
2019/03/09,-21.4124570833333,-14.3464923611111
2019/03/10,-21.4125966660879,-14.3503153498871
2019/03/11,-21.4166329281,-14.3559745050365
2019/03/12,-21.4246219520667,-14.3630310003473
2019/03/13,-21.4243065636395,-14.3630092203507
2019/03/14,-21.4204098819034,-14.3589992879472
2019/03/15,-21.4207572188024,-14.36193461108
2019/03/16,-21.4211806389998,-14.3523815940267
2019/03/17,-21.4230456993918,-14.3489822589053
2019/03/18,-21.4247507558644,-14.3461058384014
2019/03/19,-21.4241103112502,-14.343468614154
2019/03/20,-21.4275132278811,-14.3460312532592
2019/03/21,-21.4243623392423,-14.3465506951686
2019/03/22,-21.4242458825573,-14.3505860319666
2019/03/23,-21.4281331422616,-14.3576712176481
2019/03/24,-21.4282825664178,-14.3616804479944
2019/03/25,-21.4301207435719,-14.3657026233495
2019/03/26,-21.427571197636,-14.3653458543369
2019/03/27,-21.4256594927914,-14.3638027271148
2019/03/28,-21.4288898767147,-14.3639717138392
2019/03/29,-21.4294536898767,-14.3608653932975
2019/03/30,-21.4270896629604,-14.3550254169562
2019/03/31,-21.4276055603823,-14.3514035794961
2019/04/01,-21.4279509814139,-14.3489394823693
2019/04/02,-21.4277884528564,-14.3480881750304
2019/04/03,-21.4303910701876,-14.3511350416956
2019/04/04,-21.4276188318982,-14.3522715275178
2019/04/05,-21.4292829866667,-14.3416423466667
2019/04/06,-21.4271591782502,-14.3633927432543
2019/04/07,-21.4281362847222,-14.3632094444444
2019/04/08,-21.4284409027778,-14.3652946006945
2019/04/09,-21.4287004513889,-14.3658507986111
2019/04/10,-21.43654421875,-14.3699330729167
2019/04/11,-21.4317737673611,-14.3641703472222
2019/04/12,-21.435469375,-14.3630543923611
2019/04/13,-21.4346025,-14.3584104513889
2019/04/14,-21.4390246875,-14.3575996180556
2019/04/15,-21.4362620138889,-14.3531125347222
2019/04/16,-21.4398563368056,-14.3547336631944
2019/04/17,-21.4390895486111,-14.3555505729167
2019/04/18,-21.4381863888889,-14.3580988888889
2019/04/19,-21.4389759375,-14.3628439583333
2019/04/20,-21.4377734201389,-14.366345
2019/04/21,-21.4412436458333,-14.3721584375
2019/04/22,-21.4420555208333,-14.3747203819444
2019/04/23,-21.4347860416667,-14.3700575347222
2019/04/24,-21.43831703125,-14.3708001041667
2019/04/25,-21.4383030902778,-14.3676148263889
2019/04/26,-21.4424979513889,-14.36631828125
2019/04/27,-21.4416377256944,-14.3616267881945
2019/04/28,-21.4459964756944,-14.3614192361111
2019/04/29,-21.4417112152778,-14.3571741840278
2019/04/30,-21.4377636458333,-14.3552142881944
2019/05/01,-21.4397843402778,-14.35911375
2019/05/02,-21.4407730034722,-14.3635806770833
2019/05/03,-21.4448715625,-14.3705281423611
2019/05/04,-21.4425305555556,-14.3726326215278
2019/05/05,-21.4421760416667,-14.3747683333333
2019/05/06,-21.4408816840278,-14.374564375
2019/05/07,-21.4454076215278,-14.37653015625
2019/05/08,-21.4488048611111,-14.37627953125
2019/05/09,-21.4511288888889,-14.3743032118056
2019/05/10,-21.4453093576389,-14.3664450173611
2019/05/11,-21.4424461979167,-14.3608287847222
2019/05/12,-21.4414082465278,-14.3574274305556
2019/05/13,-21.4386952604167,-14.3545228125
2019/05/14,-21.4395425520833,-14.3559329861111
2019/05/15,-21.4367184201389,-14.3566366493056
2019/05/16,-21.4352373263889,-14.3593572222222
2019/05/17,-21.4332560069444,-14.3620156944444
2019/05/18,-21.4332636979167,-14.3655155729167
2019/05/19,-21.4316342361111,-14.3668714236111
2019/05/20,-21.4329796006944,-14.3687490625
